日期,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20240306,300620,光库科技,卖出,50.00,-14100,-705000.00
20240307,301117,佳缘科技,买入,37.44,12000,449266.80
20240307,688048,长光华芯,买入,45.25,9233,417790.48
20240307,300374,中铁装配,买入,16.74,19200,321459.78
20240307,603721,中广天择,卖出,28.14,-15500,-436149.32
20240307,002975,博杰股份,卖出,38.60,-13000,-501800.00
20240308,301517,陕西华达,买入,50.47,11200,565212.04
20240308,002975,博杰股份,买入,36.31,12500,453875.00
20240308,688626,翔宇医疗,买入,42.42,13263,562646.30
20240308,301117,佳缘科技,卖出,36.13,-12000,-433575.80
20240308,688048,长光华芯,卖出,45.13,-9233,-416646.46
20240308,300374,中铁装配,卖出,15.59,-19200,-299287.68
20240311,301162,国能日新,买入,53.05,9600,509280.00
20240311,000411,英特集团,买入,11.50,5100,58650.00
20240311,002975,博杰股份,卖出,39.17,-12500,-489637.55
20240311,301517,陕西华达,卖出,50.36,-11200,-564016.90
20240311,688626,翔宇医疗,卖出,42.90,-13263,-568962.81
20240312,301517,陕西华达,买入,51.39,10000,513900.00
20240312,002975,博杰股份,买入,39.31,17200,676208.12
20240312,605298,必得科技,买入,14.65,29900,438074.00
20240312,301162,国能日新,卖出,52.06,-9600,-499790.00
20240312,000411,英特集团,卖出,10.81,-5100,-55136.10
20240313,603283,赛腾股份,买入,88.04,7300,642720.80
20240313,688627,精智达,买入,75.35,3818,287682.86
20240313,605298,必得科技,卖出,14.98,-29900,-447902.00
20240313,301517,陕西华达,卖出,51.69,-10000,-516895.00
20240313,002975,博杰股份,卖出,40.00,-17200,-687917.44
20240314,002975,博杰股份,买入,39.20,17500,686000.00
20240314,301230,泓博医药,买入,38.91,16900,657506.14
20240314,603283,赛腾股份,卖出,85.25,-7300,-622298.81
20240314,688627,精智达,卖出,73.22,-3818,-279555.87
20240315,688070,纵横股份,买入,36.12,17474,631117.48
20240315,301230,泓博医药,卖出,39.03,-16900,-659531.64
20240315,002975,博杰股份,卖出,39.83,-17500,-697031.52
20240318,300044,赛为智能,买入,5.96,72500,432100.00
20240318,688070,纵横股份,买入,39.45,8195,323292.75
20240318,002253,川大智胜,买入,12.67,19100,241977.90
20240319,301313,凡拓数创,买入,29.20,21500,627800.00
20240319,301125,腾亚精工,买入,15.83,39100,618926.44
20240319,688070,纵横股份,卖出,49.54,-25669,-1271537.06
20240319,002253,川大智胜,卖出,13.00,-19100,-248300.00
20240319,300044,赛为智能,卖出,5.94,-72500,-430650.00
20240320,000628,高新发展,买入,87.01,8000,696080.00
20240320,688070,纵横股份,买入,47.08,17054,802841.42
20240320,301125,腾亚精工,卖出,15.61,-39100,-610446.05
20240320,301313,凡拓数创,卖出,30.10,-21500,-647253.00
20240321,301486,致尚科技,买入,44.30,10400,460735.60
20240321,600580,卧龙电驱,买入,17.79,48000,853961.98
20240321,688070,纵横股份,卖出,60.07,-14593,-876552.83
20240321,000628,高新发展,卖出,88.50,-8000,-708000.00
20240322,688070,纵横股份,买入,54.13,11769,637071.35
20240322,688070,纵横股份,卖出,55.77,-2461,-137249.97
20240322,301486,致尚科技,卖出,47.30,-10400,-491904.40
20240322,600580,卧龙电驱,卖出,17.60,-48000,-844800.00
20240325,688070,纵横股份,买入,49.53,12333,610878.16
20240325,601137,博威合金,买入,20.00,26600,532000.00
20240325,688070,纵横股份,卖出,55.98,-11769,-658872.17
20240326,603598,引力传媒,买入,19.48,50100,976088.28
20240326,300242,佳云科技,买入,3.51,250000,878500.00
20240326,688070,纵横股份,卖出,51.32,-12333,-632925.58
20240326,601137,博威合金,卖出,19.60,-26600,-521293.50
20240327,002103,广博股份,买入,7.20,131000,943200.00
20240327,300242,佳云科技,卖出,3.58,-250000,-896150.00
20240327,603598,引力传媒,卖出,19.34,-50100,-968974.08
20240328,002565,顺灏股份,买入,3.16,149300,471788.00
20240328,002103,广博股份,卖出,7.38,-131000,-966780.00
20240329,300697,电工合金,买入,12.10,50000,605000.00
20240329,301307,美利信,买入,30.38,18600,565068.00
20240329,605319,无锡振华,买入,24.09,19800,476982.00
20240329,688070,纵横股份,买入,51.16,5302,271264.60
20240329,002565,顺灏股份,卖出,3.05,-149300,-455365.00
20240401,301141,中科磁业,买入,48.71,16000,779360.00
20240401,688070,纵横股份,买入,49.78,37290,1856338.41
20240401,605319,无锡振华,卖出,24.08,-19800,-476867.00
20240401,300697,电工合金,卖出,12.12,-50000,-606090.00
20240401,688070,纵横股份,卖出,48.88,-3231,-157931.28
20240401,301307,美利信,卖出,29.09,-18600,-541074.00
20240402,300890,翔丰华,买入,42.47,20900,887623.00
20240402,688070,纵横股份,买入,46.19,13881,641220.30
20240402,688070,纵横股份,卖出,49.89,-39361,-1963587.10
20240402,301141,中科磁业,卖出,49.96,-16000,-799359.55
20240403,001696,宗申动力,买入,8.37,100000,836720.00
20240403,688070,纵横股份,卖出,49.16,-13881,-682334.90
20240403,300890,翔丰华,卖出,43.88,-20900,-917092.00
20240408,601899,紫金矿业,买入,17.30,87100,1506830.00
20240408,300732,设研院,买入,7.85,100000,784550.00
20240408,688070,纵横股份,买入,47.02,19054,895961.36
20240408,001696,宗申动力,卖出,8.95,-100000,-895000.00
20240409,603050,科林电气,买入,29.13,30500,888561.00
20240409,688070,纵横股份,买入,48.47,16656,807312.20
20240409,300732,设研院,卖出,7.73,-100000,-773015.32
20240409,688070,纵横股份,卖出,50.35,-5963,-300237.05
20240409,601899,紫金矿业,卖出,17.18,-87100,-1496598.00
20240410,002253,川大智胜,买入,11.62,59100,686647.44
20240410,603518,锦泓集团,买入,9.60,133200,1279049.79
20240410,688631,莱斯信息,买入,69.28,2467,170913.76
20240410,688070,纵横股份,卖出,47.41,-29747,-1410243.81
20240410,603050,科林电气,卖出,27.09,-30500,-826171.80
20240411,301486,致尚科技,买入,43.99,16400,721436.00
20240411,300139,晓程科技,买入,14.01,51200,717312.00
20240411,603518,锦泓集团,卖出,9.83,-133200,-1308778.00
20240411,688631,莱斯信息,卖出,66.99,-2467,-165264.33
20240411,002253,川大智胜,卖出,11.58,-59100,-684378.00
20240412,300690,双一科技,买入,25.04,26900,673549.10
20240412,688070,纵横股份,买入,43.12,18014,776784.12
20240412,603097,江苏华辰,买入,23.07,900,20763.00
20240412,301486,致尚科技,卖出,42.97,-16400,-704737.91
20240412,300139,晓程科技,卖出,14.97,-51200,-766464.00
20240415,688070,纵横股份,买入,40.05,14550,582707.13
20240415,600988,赤峰黄金,买入,19.78,45400,898233.00
20240415,300690,双一科技,买入,24.43,20500,500815.00
20240415,300139,晓程科技,买入,12.10,35300,427110.00
20240415,688070,纵横股份,卖出,40.24,-18014,-724808.28
20240415,603097,江苏华辰,卖出,23.31,-900,-20979.00
20240415,300690,双一科技,卖出,28.18,-26900,-758138.84
20240416,300690,双一科技,买入,24.95,21900,546405.00
20240416,300139,晓程科技,买入,11.60,73300,850427.65
20240416,300690,双一科技,卖出,26.00,-20500,-533000.00
20240416,600988,赤峰黄金,卖出,18.77,-45400,-852158.00
20240417,688522,纳睿雷达,买入,55.96,16276,910757.51
20240417,300139,晓程科技,买入,11.20,49500,554518.80
20240417,300139,晓程科技,卖出,11.86,-98700,-1170687.00
20240417,688070,纵横股份,卖出,41.53,-14550,-604227.55
20240417,300690,双一科技,卖出,27.40,-21900,-600060.00
20240418,300905,宝丽迪,买入,27.01,23000,621285.20
20240418,300139,晓程科技,买入,11.50,49700,571550.00
20240418,301388,欣灵电气,买入,24.00,23100,554400.00
20240418,300139,晓程科技,卖出,11.89,-59400,-706266.00
20240418,688522,纳睿雷达,卖出,57.88,-16276,-942054.88
20240419,002590,万安科技,买入,14.69,40000,587600.00
20240419,688015,交控科技,买入,20.06,27610,553867.64
20240419,300905,宝丽迪,卖出,27.77,-23000,-638708.00
20240419,301388,欣灵电气,卖出,24.28,-23100,-560891.44
20240419,300139,晓程科技,卖出,13.69,-49700,-680288.63
20240422,688070,纵横股份,买入,43.79,23366,1023283.52
20240422,688015,交控科技,卖出,18.62,-27610,-513979.93
20240422,002590,万安科技,卖出,14.35,-40000,-574092.00
20240423,000628,高新发展,买入,36.38,23100,840378.00
20240423,688070,纵横股份,卖出,41.89,-23366,-978830.33
