成交日期,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
2026/1/8,300136,信维通信,卖出,73.22,282938,20717456.26
2026/1/8,600410,华胜天成,买入,19.63,167900,3295877.00
2026/1/8,002031,巨轮智能,买入,8.54,250000,2135000.00
2026/1/9,002031,巨轮智能,卖出,8.07,200000,1614000.00
2026/1/9,600637,东方明珠,买入,13.30,791500,10529300.00
2026/1/9,002131,利欧股份,买入,7.46,1000000,7460000.00
2026/1/9,300986,志特新材,买入,27.82,78900,2194998.00
2026/1/9,002471,中超控股,买入,8.65,48800,422120.00
2026/1/9,600410,华胜天成,卖出,20.81,167900,3493999.00
2026/1/9,002565,顺灏股份,买入,21.42,9100,194922.00
2026/1/12,002565,顺灏股份,卖出,22.70,9100,206570.00
2026/1/12,300045,华力创通,买入,36.38,5600,203722.40
2026/1/13,002471,中超控股,卖出,9.40,48800,458720.00
2026/1/13,300045,华力创通,卖出,36.18,5600,202608.00
2026/1/13,002465,海格通信,买入,24.15,361400,8728177.00
2026/1/13,600637,东方明珠,卖出,15.13,791500,11975395.00
2026/1/14,002465,海格通信,卖出,26.62,361400,9620468.00
2026/1/14,002465,海格通信,买入,26.62,222900,5933598.00
2026/1/15,300136,信维通信,买入,77.06,72700,5602189.30
2026/1/16,300136,信维通信,卖出,81.26,72700,5907747.40
2026/1/16,600171,上海贝岭,买入,34.59,170900,5911033.20
2026/1/19,600171,上海贝岭,卖出,34.00,170900,5810600.00
2026/1/19,300444,双杰电气,买入,14.59,300000,4377600.00
2026/1/19,300986,志特新材,卖出,29.37,232100,6816746.10
2026/1/19,300342,天银机电,买入,57.05,66602,3799500.16
2026/1/19,300986,志特新材,买入,28.73,103000,2959390.00
2026/1/20,300444,双杰电气,卖出,14.83,300000,4449000.00
2026/1/20,002465,海格通信,卖出,18.76,222900,4181604.00
2026/1/20,300986,志特新材,卖出,32.61,103000,3359126.15
2026/1/20,300342,天银机电,卖出,54.65,34200,1869030.00
2026/1/20,002465,海格通信,买入,18.75,194900,3654822.20
2026/1/21,600986,浙文互联,买入,10.16,436400,4433824.00
2026/1/21,000066,中国长城,买入,17.39,609400,10597466.00
2026/1/21,002465,海格通信,卖出,17.61,194910,3432365.10
2026/1/22,600986,浙文互联,卖出,11.22,436400,4896408.00
2026/1/22,000066,中国长城,卖出,19.03,609400,11597786.00
2026/1/22,600372,中航机载,买入,16.35,189700,3101595.00
2026/1/23,002131,利欧股份,卖出,7.59,1000000,7590000.00
2026/1/23,600372,中航机载,卖出,16.50,189700,3130050.00
2026/1/23,603078,江化微,买入,30.66,564300,17301686.40
2026/1/23,300058,蓝色光标,买入,19.34,475400,9193111.00
2026/1/23,601179,中国西电,买入,16.35,115200,1883520.00
2026/1/23,300433,蓝思科技,买入,40.00,70000,2800000.00
2026/1/23,920368,连城数控,买入,47.16,75214,3546941.81
2026/1/26,601179,中国西电,卖出,15.70,115200,1808755.20
2026/1/26,300433,蓝思科技,卖出,40.92,70000,2864540.00
2026/1/26,300058,蓝色光标,买入,19.58,212000,4150309.60
2026/1/26,300179,四方达,买入,20.00,93377,1867259.87
2026/1/26,920368,连城数控,卖出,52.43,527142,27637133.70
2026/1/26,603078,江化微,卖出,29.01,791638,22968880.44
2026/1/26,300113,顺网科技,买入,24.53,56900,1395757.00
2026/1/26,601390,中国中铁,买入,5.74,452100,2595054.00
2026/1/26,300058,蓝色光标,卖出,20.74,475400,9859796.00
2026/1/27,300179,四方达,卖出,19.33,93377,1804977.41
2026/1/27,300113,顺网科技,卖出,24.21,56900,1377549.00
2026/1/27,601390,中国中铁,卖出,5.67,452100,2563407.00
2026/1/27,000547,航天发展,买入,27.48,12800,351744.00
2026/1/27,300058,蓝色光标,卖出,21.38,212000,4532560.00
2026/1/27,300342,天银机电,买入,56.86,131550,7479708.00
2026/1/27,301005,超捷股份,买入,196.90,33500,6596104.80
2026/1/27,300053,航宇微,买入,24.65,75000,1848975.00
2026/1/27,300136,信维通信,买入,84.85,157800,13389290.90
2026/1/27,002149,西部材料,买入,47.36,21500,1018197.00
2026/1/28,300053,航宇微,卖出,24.26,75000,1819575.00
2026/1/28,000547,航天发展,卖出,26.63,12800,340864.00
2026/1/28,300136,信维通信,卖出,81.21,157800,12814938.00
2026/1/28,300342,天银机电,卖出,52.89,131550,6957811.05
2026/1/28,002149,西部材料,卖出,47.84,21500,1028646.00
2026/1/28,301005,超捷股份,卖出,184.50,33500,6180750.00
2026/1/28,000737,北方铜业,买入,18.70,433800,8112060.00
2026/1/28,600986,浙文互联,买入,12.94,187000,2419322.00
2026/1/28,301428,世纪恒通,买入,42.26,15400,650780.00
2026/1/29,000737,北方铜业,卖出,19.91,433800,8637825.60
2026/1/29,301428,世纪恒通,卖出,42.94,15400,661297.00
2026/1/29,300066,三川智慧,买入,7.98,300000,2394600.00
2026/1/29,300775,三角防务,买入,40.04,187900,7524043.00
2026/1/29,000630,铜陵有色,买入,9.19,297100,2730349.00
2026/1/29,002012,凯恩股份,买入,6.66,45000,299700.00
2026/1/29,300033,同花顺,买入,358.52,11400,4087162.00
2026/1/29,600986,浙文互联,卖出,13.78,187000,2576860.00
2026/1/30,300066,三川智慧,卖出,7.37,300000,2211000.00
2026/1/30,000630,铜陵有色,卖出,8.50,297100,2525350.00
2026/1/30,123182,广联转债,买入,175.92,23340,4106066.16
2026/1/30,300775,三角防务,卖出,38.02,34900,1326966.80
2026/1/30,300033,同花顺,卖出,349.65,11400,3986010.00
2026/1/30,123182,广联转债,卖出,164.12,23340,3830510.79
2026/1/30,600667,太极实业,买入,11.11,1429800,15886932.00
2026/1/30,002012,凯恩股份,卖出,6.37,250000,1592500.00
2026/1/30,000020,深华发A,买入,15.98,243500,3890643.00
2026/2/2,600667,太极实业,卖出,10.75,14298015,153726334.11
2026/2/2,123182,广联转债,买入,174.87,37730,6597694.18
2026/2/2,300342,天银机电,买入,56.67,50100,2839367.40
2026/2/2,123182,广联转债,卖出,168.84,377306,63703402.03
2026/2/2,000981,山子高科,买入,4.85,476800,2312480.00
2026/2/2,000020,深华发A,卖出,15.12,243500,3682529.00
2026/2/2,301005,超捷股份,买入,182.89,8500,1554590.50
2026/2/2,002009,天奇股份,买入,29.96,41700,1249206.90
2026/2/2,603667,五洲新春,买入,77.64,64500,5008038.00
2026/2/2,601615,明阳智能,买入,24.08,157500,3792442.50
2026/2/3,603667,五洲新春,卖出,78.55,64500,5066475.00
2026/2/3,301005,超捷股份,卖出,177.69,8500,1510365.00
2026/2/3,300342,天银机电,卖出,54.22,50100,2716622.40
2026/2/3,601615,明阳智能,卖出,23.90,157500,3764250.00
2026/2/3,000981,山子高科,卖出,4.90,476800,2336320.00
2026/2/3,002009,天奇股份,卖出,30.13,41700,1256421.00
2026/2/3,600986,浙文互联,买入,15.41,967000,14898180.00
2026/2/3,301183,东田微,买入,177.28,6700,1187787.40
2026/2/4,301183,东田微,卖出,168.50,21300,3589050.00
2026/2/4,300131,英唐智控,买入,16.53,217600,3596928.00
2026/2/5,300131,英唐智控,卖出,16.12,217600,3507712.00
2026/2/5,000592,平潭发展,买入,11.50,304900,3506350.00
2026/2/6,600986,浙文互联,卖出,13.97,967020,13509269.40
2026/2/6,002155,湖南黄金,买入,33.13,131300,4349969.00
2026/2/6,127075,百川转2,买入,162.40,26790,4350642.42
2026/2/6,000592,平潭发展,卖出,11.91,304900,3629923.00
2026/2/6,127075,百川转2,卖出,164.53,26790,4407780.61
2026/2/6,300017,网宿科技,买入,19.00,206700,3927300.00
2026/2/6,002624,完美世界,买入,19.50,412000,8033972.00
2026/2/10,688818,N电科,买入,80.50,1449,116644.50
2026/2/11,300166,东方国信,买入,13.82,10300,142353.00
2026/2/12,110095,双良转债,卖出,183.35,280,51338.28
2026/2/12,300182,捷成股份,买入,8.85,200,1770.00
