成交日期,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20170807,600569,安阳钢铁,证券买入,4.18,33300,139194.00
20170808,600569,安阳钢铁,证券卖出,4.41,33300,146853.00
20170808,600516,方大炭素,证券买入,33.07,4400,145508.00
20170809,600516,方大炭素,证券卖出,30.53,4400,134332.00
20170809,600569,安阳钢铁,证券买入,4.48,30100,134848.00
20170810,600569,安阳钢铁,证券卖出,4.60,30100,138460.00
20170810,300676,华大基因,证券买入,109.30,1200,131160.00
20170811,300676,华大基因,证券卖出,102.69,1200,123228.00
20170811,002580,圣阳股份,证券买入,8.98,7200,64656.00
20170811,000615,京汉股份,证券买入,14.69,4400,64636.00
20170814,002580,圣阳股份,证券卖出,9.16,7200,65952.00
20170814,601619,嘉泽新能,证券买入,8.20,8000,65600.00
20170814,000615,京汉股份,证券卖出,15.74,4400,69269.20
20170815,601619,嘉泽新能,证券卖出,9.14,8000,73120.00
20170816,600516,方大炭素,证券买入,31.01,4500,139545.00
20170817,600516,方大炭素,证券卖出,29.91,4500,134595.00
20170817,000688,建新矿业,证券买入,9.77,14000,136780.00
20170818,000688,建新矿业,证券卖出,10.03,14000,140420.00
20170821,603602,纵横通信,证券买入,42.61,3200,136352.00
20170824,603602,纵横通信,证券卖出,56.68,3200,181376.00
20170824,601858,中国科传,证券买入,13.70,13400,183580.00
20170825,601858,中国科传,证券卖出,14.63,13400,196015.20
20170825,600740,山西焦化,证券买入,9.70,20200,195940.00
20170828,600740,山西焦化,证券卖出,10.08,20200,203616.00
