日期,成交时间,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20240924,10:30:00,605336,帅丰电器,买入,10.09,81800,825214.00
20240924,10:30:00,603366,日出东方,买入,3.89,468700,1825584.00
20240924,10:30:00,300894,火星人,买入,12.40,66500,824300.75
20240925,:00,300190,维尔利,卖出,3.02,-148000,-446960.00
20240925,:00,300070,碧水源,卖出,3.62,-527400,-1909140.00
20240925,:00,603366,日出东方,卖出,3.98,-468700,-1864252.00
20240925,10:30:00,002355,兴民智通,买入,5.14,151100,776654.00
20240925,:00,605336,帅丰电器,卖出,9.97,-81800,-815922.28
20240925,10:30:00,603214,爱婴室,买入,13.78,104000,1433034.96
20240925,:00,300894,火星人,卖出,12.24,-66500,-813906.54
20240926,10:30:00,002693,双成药业,买入,13.52,80000,1081600.00
20240926,10:30:00,300969,恒帅股份,买入,61.90,36900,2284272.73
20240926,10:30:00,603286,日盈电子,买入,17.70,38200,676055.96
20240926,:00,603214,爱婴室,卖出,13.38,-104000,-1391280.50
20240926,:00,002355,兴民智通,卖出,4.97,-151100,-750967.00
20240927,10:30:00,300755,华致酒行,买入,15.72,61700,969924.00
20240927,10:30:00,301551,C无线,买入,50.64,1500,75960.00
20240930,10:30:00,301522,上大股份,买入,0.00,44,0.00
20240930,:00,300755,华致酒行,卖出,19.44,-61700,-1199565.23
20240930,10:30:00,300969,恒帅股份,买入,73.21,7100,519808.75
20240930,:00,603286,日盈电子,卖出,18.90,-38200,-722033.48
20240930,10:30:00,300177,中海达,买入,10.15,228200,2317209.28
20240930,:00,301551,C无线,卖出,146.00,-1500,-219000.00
20241008,10:30:00,300177,中海达,买入,12.34,18100,223354.00
20241008,:00,300969,恒帅股份,卖出,93.52,-21100,-1973363.00
20241008,:00,300177,中海达,卖出,12.34,-228200,-2815120.84
20241008,10:30:00,300969,恒帅股份,买入,97.86,12300,1203678.00
20241009,10:30:00,300177,中海达,买入,13.00,160000,2080000.00
20241009,:00,300969,恒帅股份,卖出,94.10,-35200,-3312371.58
20241009,10:30:00,300735,光弘科技,买入,32.78,68000,2229067.20
20241009,10:30:00,300337,银邦股份,买入,14.82,161309,2389997.72
20241009,:00,300177,中海达,卖出,14.59,-18100,-264079.00
20241010,10:30:00,301611,珂玛科技,买入,64.37,20600,1326022.00
20241010,10:30:00,600460,士兰微,买入,28.78,35000,1007300.00
20241010,:00,300177,中海达,卖出,11.52,-160000,-1843079.32
20241010,:00,300735,光弘科技,卖出,30.31,-68000,-2061290.50
20241010,:00,002693,双成药业,卖出,17.82,-80000,-1425600.00
20241010,:00,300337,银邦股份,卖出,14.21,-161309,-2292102.56
20241011,:00,301611,珂玛科技,卖出,55.91,-20600,-1151671.84
20241011,10:30:00,002615,哈尔斯,买入,7.50,163600,1227399.00
20241011,:00,600460,士兰微,卖出,24.80,-35000,-867958.00
20241014,10:30:00,601211,国泰君安,买入,19.57,94000,1839580.00
20241014,:00,002615,哈尔斯,卖出,7.52,-163600,-1229521.78
20241015,10:30:00,300337,银邦股份,买入,19.01,80000,1520800.00
20241015,10:30:00,301421,波长光电,买入,61.97,18000,1115460.00
20241015,:00,601211,国泰君安,卖出,18.29,-94000,-1719260.00
20241015,10:30:00,300667,必创科技,买入,18.30,215433,3942089.55
20241015,10:30:00,002693,双成药业,买入,19.40,47200,915680.00
20241016,:00,300337,银邦股份,卖出,18.24,-80000,-1459508.00
20241016,:00,301421,波长光电,卖出,61.25,-18000,-1102530.60
20241016,:00,300667,必创科技,卖出,18.01,-215433,-3879122.93
20241016,10:30:00,600248,陕建股份,买入,4.36,808800,3529375.00
20241016,10:30:00,300621,维业股份,买入,10.94,150000,1641000.00
20241016,10:30:00,301098,金埔园林,买入,8.91,59010,525779.10
20241017,:00,300621,维业股份,卖出,10.54,-150000,-1581045.75
20241017,:00,301098,金埔园林,卖出,8.41,-59010,-496233.44
20241017,:00,600248,陕建股份,卖出,4.24,-808800,-3427290.00
20241017,10:30:00,688629,华丰科技,买入,33.29,23728,790011.90
20241017,10:30:00,002693,双成药业,买入,19.30,98800,1906840.00
20241018,10:30:00,789726,拉普配号,买入,0.00,13,0.00
20241018,:00,688629,华丰科技,卖出,34.00,-23728,-806752.00
20241018,10:30:00,002843,泰嘉股份,买入,18.95,94700,1794565.00
20241018,10:30:00,300293,蓝英装备,买入,32.00,60100,1923200.00
20241021,:00,300293,蓝英装备,卖出,32.62,-60100,-1960169.00
20241021,:00,002843,泰嘉股份,卖出,19.96,-94700,-1890308.39
20241021,10:30:00,600248,陕建股份,买入,4.15,118100,490115.00
20241022,:00,600248,陕建股份,卖出,4.11,-118100,-485391.00
20241022,10:30:00,301171,易点天下,买入,21.93,88600,1942873.96
20241022,:00,002693,双成药业,卖出,31.23,-146000,-4560018.00
20241023,:00,301171,易点天下,卖出,21.15,-88600,-1873890.00
20241023,10:30:00,300652,雷迪克,买入,34.48,47000,1620575.90
20241024,10:30:00,300489,光智科技,买入,94.59,39500,3736455.90
20241024,:00,300652,雷迪克,卖出,32.91,-47000,-1546625.58
20241025,10:30:00,300489,光智科技,买入,105.00,26400,2772000.00
20241025,:00,300489,光智科技,卖出,110.53,-39500,-4365784.22
20241025,10:30:00,300735,光弘科技,买入,33.83,90500,3061242.45
20241025,10:30:00,301171,易点天下,买入,19.22,184400,3543246.98
20241028,:00,300489,光智科技,卖出,100.56,-26400,-2654712.72
20241028,:00,300735,光弘科技,卖出,34.41,-90500,-3114381.29
20241028,10:30:00,600248,陕建股份,买入,4.23,1873000,7921860.85
20241028,:00,301171,易点天下,卖出,20.22,-46100,-932142.00
20241029,10:30:00,300364,中文在线,买入,33.25,77200,2567016.77
20241029,:00,301171,易点天下,卖出,19.67,-138300,-2719992.00
20241029,:00,600248,陕建股份,卖出,4.14,-1873000,-7762894.00
20241029,10:30:00,600622,光大嘉宝,买入,4.32,333300,1439856.00
20241030,10:30:00,603887,城地香江,买入,19.22,87600,1684004.88
20241030,:00,600622,光大嘉宝,卖出,4.75,-333300,-1583175.00
20241030,10:30:00,600622,光大嘉宝,买入,4.44,402600,1785928.00
20241030,10:30:00,603773,沃格光电,买入,26.74,131400,3513636.00
20241030,:00,300364,中文在线,卖出,29.40,-77200,-2269687.72
20241031,10:30:00,600895,张江高科,买入,28.68,52300,1499964.00
20241031,:00,603773,沃格光电,卖出,28.12,-131400,-3695520.51
20241031,:00,600622,光大嘉宝,卖出,4.95,-402600,-1992870.00
20241031,10:30:00,002400,省广集团,买入,6.11,670500,4096752.82
20241031,:00,603887,城地香江,卖出,21.80,-87600,-1909294.56
20241031,10:30:00,600248,陕建股份,买入,4.54,500000,2270000.00
20241031,10:30:00,603991,至正股份,买入,97.00,15644,1517468.00
20241031,10:30:00,603283,赛腾股份,买入,72.21,43300,3126713.89
20241101,:00,600248,陕建股份,卖出,4.54,-500000,-2270000.00
20241101,:00,603991,至正股份,卖出,89.00,-15644,-1392316.00
20241101,10:30:00,300735,光弘科技,买入,34.48,71700,2472287.70
20241101,10:30:00,832786,骑士乳业,买入,8.50,165603,1407625.50
20241101,:00,002400,省广集团,卖出,6.59,-670500,-4418595.00
20241101,:00,603283,赛腾股份,卖出,69.61,-43300,-3013949.61
20241101,:00,600895,张江高科,卖出,31.55,-52300,-1650065.00
20241101,10:30:00,002828,贝肯能源,买入,8.75,75800,663250.00
20241101,10:30:00,830964,润农节水,买入,12.59,33856,426247.04
20241101,10:30:00,002312,川发龙蟒,买入,19.02,62700,1192554.00
20241104,10:30:00,600203,福日电子,买入,11.46,424800,4868208.00
20241104,:00,002312,川发龙蟒,卖出,19.90,-62700,-1247730.00
20241104,:00,002828,贝肯能源,卖出,8.81,-75800,-667555.44
20241104,:00,830964,润农节水,卖出,11.46,-33856,-387895.43
20241104,:00,832786,骑士乳业,卖出,7.78,-165603,-1287743.38
20241104,:00,300735,光弘科技,卖出,36.22,-71700,-2596665.12
20241105,10:30:00,300121,阳谷华泰,买入,19.63,127500,2503309.50
20241105,:00,600203,福日电子,卖出,14.49,-424800,-6156980.40
20241105,10:30:00,605218,伟时电子,买入,27.19,113300,3080230.45
20241105,10:30:00,300861,美畅股份,买入,27.99,94900,2656706.52
20241105,10:30:00,603863,松炀资源,买入,28.95,106400,3080280.00
20241106,:00,300861,美畅股份,卖出,28.86,-94900,-2738374.36
20241106,10:30:00,000572,海马汽车,买入,6.04,600000,3624000.00
20241106,:00,300121,阳谷华泰,卖出,17.92,-127500,-2284672.50
20241106,10:30:00,300551,古鳌科技,买入,17.41,135800,2364278.00
20241106,:00,603863,松炀资源,卖出,31.12,-106400,-3311153.24
20241106,10:30:00,600580,卧龙电驱,买入,16.72,169651,2835910.94
20241106,:00,605218,伟时电子,卖出,25.91,-113300,-2935279.53
20241107,10:30:00,605218,伟时电子,买入,25.11,62100,1559331.00
20241107,10:30:00,600221,海航控股,买入,1.97,2040800,4024048.00
20241107,:00,300551,古鳌科技,卖出,16.33,-135800,-2217963.13
20241107,10:30:00,600326,西藏天路,买入,7.85,366300,2873916.54
20241107,:00,000572,海马汽车,卖出,5.47,-600000,-3282000.00
20241107,:00,600580,卧龙电驱,卖出,15.91,-169651,-2698350.05
20241108,:00,600326,西藏天路,卖出,8.08,-366300,-2958984.41
20241108,10:30:00,300762,上海瀚讯,买入,27.70,126900,3515193.45
20241108,:00,600221,海航控股,卖出,2.41,-2040800,-4910058.00
20241108,:00,605218,伟时电子,卖出,29.94,-62100,-1859449.65
20241108,10:30:00,301313,凡拓数创,买入,22.48,48900,1099027.50
20241108,10:30:00,688039,当虹科技,买入,30.00,49072,1472002.97
20241108,10:30:00,300556,丝路视觉,买入,20.28,131400,2664811.62
20241111,10:30:00,002312,川发龙蟒,买入,16.59,129200,2143428.00
20241111,10:30:00,603366,日出东方,买入,7.08,996300,7053840.84
20241111,:00,300556,丝路视觉,卖出,20.15,-131400,-2648026.30
20241111,:00,301313,凡拓数创,卖出,22.25,-48900,-1087912.53
20241111,:00,688039,当虹科技,卖出,29.65,-49072,-1454763.98
20241111,:00,300762,上海瀚讯,卖出,30.80,-126900,-3908976.59
20241111,10:30:00,300762,上海瀚讯,买入,29.52,19800,584486.00
20241112,10:30:00,002892,科力尔,买入,18.00,140200,2523361.66
20241112,:00,603366,日出东方,卖出,7.16,-996300,-7136055.00
20241112,10:30:00,300217,东方电热,买入,5.52,543300,3001260.75
20241112,10:30:00,832175,东方碳素,买入,12.39,148021,1833352.49
20241112,10:30:00,300173,福能东方,买入,6.91,265500,1834498.80
20241112,:00,300762,上海瀚讯,卖出,28.38,-19800,-561929.94
20241112,:00,002312,川发龙蟒,卖出,16.66,-129200,-2152472.00
20241113,10:30:00,688116,天奈科技,买入,43.73,61324,2681698.52
20241113,:00,300173,福能东方,卖出,6.92,-265500,-1836822.00
20241113,10:30:00,605218,伟时电子,买入,29.01,112200,3254922.00
20241113,:00,002892,科力尔,卖出,17.39,-140200,-2438246.24
20241113,10:30:00,300217,东方电热,买入,5.49,300000,1647000.00
20241113,10:30:00,300184,力源信息,买入,12.70,150000,1905000.00
20241114,10:30:00,300762,上海瀚讯,买入,27.15,117300,3184507.32
20241114,:00,832175,东方碳素,卖出,14.27,-148021,-2111544.73
20241114,:00,300184,力源信息,卖出,13.07,-150000,-1960282.50
20241114,:00,605218,伟时电子,卖出,28.61,-112200,-3209849.76
20241114,:00,688116,天奈科技,卖出,40.20,-61324,-2464985.64
20241115,:00,300217,东方电热,卖出,5.31,-843300,-4477819.78
20241115,10:30:00,002312,川发龙蟒,买入,15.40,200200,3083570.16
20241115,10:30:00,300762,上海瀚讯,买入,26.20,100000,2619620.00
20241115,:00,300762,上海瀚讯,卖出,26.63,-117300,-3123159.91
20241118,10:30:00,002312,川发龙蟒,买入,14.88,193500,2878815.60
20241118,10:30:00,300133,华策影视,买入,7.48,379800,2842484.52
20241118,:00,300762,上海瀚讯,卖出,26.41,-100000,-2640825.00
20241118,:00,002312,川发龙蟒,卖出,15.07,-200200,-3017014.00
20241119,10:30:00,603721,中广天择,买入,26.61,147500,3924975.00
20241119,10:30:00,603918,金桥信息,买入,14.20,285000,4047000.00
20241119,:00,002312,川发龙蟒,卖出,15.19,-193500,-2938877.55
20241119,:00,300133,华策影视,卖出,7.35,-229800,-1689030.00
20241120,:00,603918,金桥信息,卖出,14.05,-285000,-4003081.14
20241120,:00,300133,华策影视,卖出,7.51,-150000,-1126635.00
20241120,:00,603721,中广天择,卖出,28.74,-147500,-4239091.12
20241120,10:30:00,300652,雷迪克,买入,31.31,93500,2927086.60
20241121,10:30:00,600966,博汇纸业,买入,5.96,500000,2980000.00
20241121,10:30:00,603079,圣达生物,买入,19.32,242400,4684236.73
20241121,:00,300652,雷迪克,卖出,30.35,-93500,-2837847.52
20241121,10:30:00,301182,凯旺科技,买入,40.10,59700,2393868.48
20241122,:00,603079,圣达生物,卖出,21.14,-242400,-5124360.24
20241122,:00,301182,凯旺科技,卖出,39.95,-59700,-2385181.75
20241122,10:30:00,603859,能科科技,买入,31.81,65600,2087033.47
20241122,:00,600966,博汇纸业,卖出,5.60,-500000,-2800000.00
20241122,10:30:00,831087,秋乐种业,买入,14.25,38374,546829.50
20241122,10:30:00,002820,桂发祥,买入,9.86,388700,3832582.00
20241125,10:30:00,300133,华策影视,买入,7.29,450000,3279525.00
20241125,10:30:00,002820,桂发祥,买入,9.49,101400,962559.78
20241125,:00,831087,秋乐种业,卖出,14.29,-38374,-548475.74
20241125,:00,603859,能科科技,卖出,30.20,-65600,-1981442.99
20241125,:00,002820,桂发祥,卖出,10.20,-47600,-485308.00
20241126,10:30:00,002820,桂发祥,买入,11.40,155400,1771560.00
20241126,:00,300133,华策影视,卖出,7.84,-450000,-3529590.00
20241126,10:30:00,603822,嘉澳环保,买入,51.99,38900,2022328.80
20241126,10:30:00,300892,品渥食品,买入,41.19,82100,3381953.51
20241127,:00,300892,品渥食品,卖出,39.14,-82100,-3213593.31
20241127,:00,603822,嘉澳环保,卖出,50.29,-38900,-1956321.56
20241127,10:30:00,600622,光大嘉宝,买入,3.81,1000000,3814400.00
20241127,10:30:00,300997,欢乐家,买入,13.98,168300,2352834.00
20241128,10:30:00,300736,百邦科技,买入,11.80,41400,488520.00
20241128,:00,300997,欢乐家,卖出,14.57,-168300,-2452824.47
20241128,10:30:00,600622,光大嘉宝,买入,3.92,655900,2572833.48
20241129,10:30:00,600622,光大嘉宝,买入,3.86,174300,672798.00
20241129,:00,300736,百邦科技,卖出,11.80,-41400,-488664.90
20241129,:00,600622,光大嘉宝,卖出,3.85,-1655900,-6373905.00
20241202,10:30:00,836961,西磁科技,买入,41.13,75565,3107811.56
20241202,:00,600622,光大嘉宝,卖出,3.97,-174300,-691971.00
20241203,:00,836961,西磁科技,卖出,48.28,-75565,-3648185.88
20241203,10:30:00,301335,天元宠物,买入,30.96,194236,6013546.56
20241203,:00,002820,桂发祥,卖出,19.22,-597900,-11491638.00
20241204,10:30:00,002103,广博股份,买入,13.90,967600,13449640.00
20241204,:00,301335,天元宠物,卖出,26.86,-194236,-5216869.73
20241205,:00,002103,广博股份,卖出,12.91,-967600,-12495524.41
20241206,10:30:00,000759,中百集团,买入,5.21,500000,2605000.00
20241206,10:30:00,601933,永辉超市,买入,5.61,37900,212619.00
20241206,10:30:00,301600,慧翰股份,买入,110.24,40900,4508779.63
20241209,10:30:00,600889,南京化纤,买入,19.75,181300,3580675.00
20241209,10:30:00,601933,永辉超市,买入,5.50,1000000,5500000.00
20241209,10:30:00,001217,华尔泰,买入,13.32,273400,3641688.00
20241209,:00,601933,永辉超市,卖出,5.62,-37900,-212998.00
20241209,:00,301600,慧翰股份,卖出,127.80,-40900,-5227019.19
20241209,10:30:00,301085,亚康股份,买入,61.33,75800,4648667.27
20241210,10:30:00,300310,宜通世纪,买入,9.80,584900,5731849.06
20241210,:00,600889,南京化纤,卖出,20.18,-181300,-3659423.40
20241210,10:30:00,688787,海天瑞声,买入,114.80,68280,7838309.74
20241210,:00,001217,华尔泰,卖出,13.21,-273400,-3612893.63
20241211,10:30:00,001217,华尔泰,买入,13.01,164300,2137755.00
20241211,:00,601933,永辉超市,卖出,6.27,-1000000,-6267044.00
20241211,:00,688787,海天瑞声,卖出,130.53,-68280,-8912856.34
20241211,:00,301085,亚康股份,卖出,75.85,-75800,-5749430.00
20241211,10:30:00,831304,迪尔化工,买入,15.33,151673,2324804.86
20241211,10:30:00,688229,博睿数据,买入,49.98,50000,2498830.00
20241211,10:30:00,300310,宜通世纪,买入,9.44,300000,2831130.00
20241212,:00,300310,宜通世纪,卖出,9.84,-884900,-8711668.00
20241212,:00,688229,博睿数据,卖出,49.30,-50000,-2464787.15
20241212,10:30:00,000795,英洛华,买入,11.56,241400,2790726.00
20241212,10:30:00,603598,引力传媒,买入,21.93,330800,7254444.00
20241212,:00,001217,华尔泰,卖出,13.75,-164300,-2259239.21
20241212,:00,831304,迪尔化工,卖出,14.57,-151673,-2209608.22
20241212,10:30:00,300442,润泽科技,买入,43.06,182800,7871821.52
20241213,:00,603598,引力传媒,卖出,22.92,-330800,-7580482.17
